Date,Open,High,Low,Close,Vol,Weekday,Month,Year
10/1/2012,112.14,113.27,110.76,111.4,80055,Monday,Oct,2012
10/2/2012,111.4,111.7,110.55,110.55,29332,Tuesday,Oct,2012
10/3/2012,110.55,110.59,106.95,107.34,56307,Wednesday,Oct,2012
10/4/2012,107.44,111.79,107.24,111.36,61664,Thursday,Oct,2012
10/5/2012,111.27,112.09,109.64,111.13,51704,Friday,Oct,2012
10/7/2012,111.11,111.13,111.02,111.02,57,Sunday,Oct,2012
10/8/2012,110.82,111.44,109.74,111.22,40638,Monday,Oct,2012
10/9/2012,111.48,113.64,111.05,113.35,61077,Tuesday,Oct,2012
10/10/2012,113.14,114.41,112.69,113.28,68836,Wednesday,Oct,2012
10/11/2012,113.41,114.95,113.26,114.77,68708,Thursday,Oct,2012
10/12/2012,114.85,114.86,112.93,113.38,83863,Friday,Oct,2012
10/14/2012,113.55,113.65,113.12,113.12,117,Sunday,Oct,2012
10/15/2012,113.1,114.49,112.46,114.48,116194,Monday,Oct,2012
10/16/2012,114.31,114.87,113.49,113.72,101853,Tuesday,Oct,2012
10/17/2012,113.97,114.31,112.8,113.21,96473,Wednesday,Oct,2012
10/18/2012,113.12,113.63,111.57,112.44,118267,Thursday,Oct,2012
10/19/2012,112.33,113.26,109.9,110.32,144533,Friday,Oct,2012
10/21/2012,109.9,110,109.71,109.77,491,Sunday,Oct,2012
10/22/2012,109.73,110.97,109.12,109.79,134279,Monday,Oct,2012
10/23/2012,109.52,109.8,107.31,108.3,144954,Tuesday,Oct,2012
10/24/2012,108.31,109.34,106.8,107.81,129713,Wednesday,Oct,2012
10/25/2012,107.8,109.28,107.46,108.5,110423,Thursday,Oct,2012
10/26/2012,108.55,109.7,107.4,109.7,112143,Friday,Oct,2012
10/28/2012,109.55,109.8,108.99,109.19,796,Sunday,Oct,2012
10/29/2012,109.17,110.26,108.51,109.33,80825,Monday,Oct,2012
10/30/2012,109.25,110.1,108.65,109.05,69046,Tuesday,Oct,2012
10/31/2012,109.1,109.8,108.3,108.4,89904,Wednesday,Oct,2012
11/1/2012,107.42,107.87,106.74,107.5,33148,Thursday,Nov,2012
11/2/2012,107.25,107.96,104.79,104.88,37721,Friday,Nov,2012
11/4/2012,104.83,104.84,104.67,104.7,60,Sunday,Nov,2012
11/5/2012,104.72,107.3,104.09,106.97,34895,Monday,Nov,2012
11/6/2012,106.85,110.39,106.26,110.13,48232,Tuesday,Nov,2012
11/7/2012,109.77,110.69,105.74,106.05,50840,Wednesday,Nov,2012
11/8/2012,106,107.31,105.32,106.18,45946,Thursday,Nov,2012
11/9/2012,106.33,108.81,105.45,108.79,52955,Friday,Nov,2012
11/11/2012,108.6,108.65,108.3,108.3,111,Sunday,Nov,2012
11/12/2012,108.29,109.36,107.53,107.82,55669,Monday,Nov,2012
11/13/2012,107.82,108,106.56,107.3,71730,Tuesday,Nov,2012
11/14/2012,107.19,109.3,106.87,108.75,132705,Wednesday,Nov,2012
11/15/2012,108.62,109.58,107.3,107.69,155235,Thursday,Nov,2012
11/16/2012,107.69,109.25,107.66,109.02,124203,Friday,Nov,2012
11/18/2012,109.25,109.51,109.19,109.5,653,Sunday,Nov,2012
